Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,89.7,0
Yes,5,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.5,1
No,1,No,No,Fiber optic,No,No,Month-to-month,No,85.8,1
No,40,Yes,Yes,DSL,Yes,No,One year,No,62.05,0
Yes,59,No,No,DSL,Yes,Yes,Two year,Yes,72.1,0
No,24,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.15,0
No,25,Yes,No,DSL,No,Yes,Month-to-month,Yes,69.5,0
Yes,71,No,Yes,DSL,Yes,Yes,One year,Yes,72.9,0
No,27,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.15,0
Yes,20,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.7,0
No,52,Yes,No,DSL,Yes,No,One year,No,53.75,0
Yes,1,No,No,DSL,No,Yes,Month-to-month,No,40.1,1
Yes,30,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.55,0
No,62,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.75,0
No,55,Yes,Yes,Fiber optic,No,No,One year,Yes,100.9,0
No,33,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,0
No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,95.45,1
No,45,Yes,No,DSL,Yes,No,Two year,No,53.3,0
No,68,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,114.9,0
Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.9,0
No,33,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.7,0
Yes,59,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.75,0
No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.6,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.3,1
No,11,No,Yes,Fiber optic,No,No,Month-to-month,No,74.95,1
No,44,No,No,DSL,Yes,Yes,One year,No,74.85,0
Yes,40,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,96.35,0
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,114.45,0
No,32,No,No,Fiber optic,No,No,Month-to-month,Yes,85.0,1
Yes,10,Yes,Yes,DSL,No,Yes,One year,No,40.25,0
No,40,No,No,Fiber optic,No,No,Month-to-month,Yes,91.55,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,85.7,1
No,12,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.15,1
Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.2,0
No,46,No,Yes,Fiber optic,Yes,Yes,Two year,No,108.65,0
Yes,37,No,No,Fiber optic,No,No,Month-to-month,Yes,95.25,0
No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.65,1
No,37,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.5,1
Yes,70,No,Yes,DSL,Yes,Yes,Two year,Yes,80.4,0
Yes,54,Yes,Yes,DSL,No,Yes,Two year,Yes,65.65,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,1
No,67,Yes,Yes,Fiber optic,Yes,No,One year,No,109.9,0
No,3,No,No,DSL,No,No,Month-to-month,Yes,60.25,0
Yes,26,No,Yes,DSL,No,Yes,Month-to-month,Yes,60.05,1
Yes,64,Yes,No,DSL,Yes,Yes,Two year,No,69.25,0
No,68,Yes,Yes,DSL,Yes,No,One year,No,76.75,0
No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.05,1
No,17,No,No,DSL,Yes,Yes,Month-to-month,Yes,69.0,0
Yes,13,No,No,DSL,No,No,Month-to-month,No,66.4,0
No,23,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,83.2,0
Yes,65,No,Yes,DSL,No,Yes,Two year,Yes,79.4,0
No,11,No,No,Fiber optic,Yes,No,Month-to-month,No,72.9,0
Yes,61,No,Yes,DSL,Yes,Yes,Two year,Yes,61.45,0
No,2,No,Yes,DSL,No,Yes,Month-to-month,Yes,64.2,0
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.25,1
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.8,1
Yes,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.55,0
Yes,30,No,No,DSL,No,Yes,Month-to-month,No,51.2,1
No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.45,0
Yes,38,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.6,0
No,3,Yes,Yes,DSL,No,No,Month-to-month,Yes,35.45,1
Yes,51,Yes,Yes,Fiber optic,No,Yes,One year,No,110.05,0
Yes,69,No,Yes,Fiber optic,Yes,No,One year,No,95.75,0
Yes,60,No,Yes,DSL,No,Yes,Two year,No,76.95,0
No,3,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.4,1
Yes,50,No,Yes,DSL,Yes,Yes,One year,Yes,84.15,0
No,60,Yes,No,DSL,No,No,One year,Yes,59.8,0
No,66,No,Yes,DSL,Yes,No,Two year,Yes,80.55,1
No,12,No,No,DSL,No,Yes,One year,No,74.05,1
Yes,42,No,No,Fiber optic,No,No,Month-to-month,Yes,77.95,1
No,4,No,No,Fiber optic,No,No,Month-to-month,No,74.95,1
Yes,13,No,No,DSL,No,No,Month-to-month,No,44.8,0
Yes,22,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.75,0
Yes,49,No,Yes,Fiber optic,No,No,One year,No,100.45,1
Yes,5,No,Yes,DSL,No,Yes,Month-to-month,No,34.25,0
Yes,70,Yes,Yes,DSL,No,Yes,One year,No,64.95,0
No,4,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.8,1
No,19,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.75,0
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.5,0
Yes,60,Yes,No,Fiber optic,No,No,Month-to-month,Yes,80.95,0
No,15,No,No,DSL,No,Yes,Month-to-month,No,55.0,1
No,43,No,Yes,DSL,No,No,Two year,Yes,60.0,0
No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.05,0
No,1,No,No,Fiber optic,Yes,No,Month-to-month,Yes,84.85,1
No,3,No,No,Fiber optic,No,Yes,Month-to-month,No,85.8,1
Yes,21,Yes,No,DSL,No,No,One year,Yes,75.9,0
No,34,No,Yes,Fiber optic,Yes,No,One year,Yes,99.85,0
No,58,Yes,Yes,DSL,No,No,One year,Yes,45.35,0
Yes,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.05,0
No,20,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,94.1,1
No,69,No,No,Fiber optic,Yes,Yes,Two year,No,105.35,0
Yes,51,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,0
Yes,69,No,Yes,Fiber optic,Yes,No,Two year,Yes,105.0,0
No,20,No,No,Fiber optic,No,No,Month-to-month,No,78.8,0
No,58,No,Yes,Fiber optic,Yes,No,One year,Yes,94.3,0
No,58,Yes,Yes,Fiber optic,Yes,No,One year,Yes,107.75,0
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.8,0
No,17,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,1
No,25,No,No,Fiber optic,No,No,Month-to-month,Yes,84.8,1
Yes,33,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.5,1
No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.85,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,50.15,0
Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,81.05,0
No,19,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,105.0,0
No,21,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,106.1,1
No,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,111.6,0
No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,0
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,77.65,1
Yes,20,No,No,DSL,Yes,No,Month-to-month,Yes,49.6,0
Yes,68,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.35,0
No,20,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,55.0,0
No,9,Yes,No,Fiber optic,No,No,Month-to-month,No,75.6,0
No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.85,0
No,66,No,No,DSL,No,Yes,One year,No,29.45,0
Yes,65,Yes,Yes,DSL,Yes,No,One year,No,61.35,0
Yes,11,No,No,DSL,No,Yes,Month-to-month,Yes,66.35,1
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,0
No,3,Yes,No,DSL,No,No,Month-to-month,Yes,50.15,0
No,11,No,Yes,Fiber optic,No,No,Month-to-month,Yes,75.9,0
No,70,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.7,0
No,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.65,0
Yes,61,Yes,Yes,DSL,Yes,Yes,One year,Yes,79.4,0
Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,Yes,91.25,0
No,24,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.3,0
Yes,42,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.7,0
No,32,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.3,0
No,2,No,Yes,DSL,No,No,Month-to-month,Yes,50.3,0
Yes,61,Yes,No,DSL,Yes,No,Month-to-month,No,33.6,0
Yes,24,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,70.3,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,0
Yes,4,No,No,Fiber optic,No,No,Month-to-month,Yes,78.9,0
No,2,Yes,No,DSL,No,No,Month-to-month,No,50.95,0
No,40,No,No,Fiber optic,No,No,Month-to-month,Yes,97.1,1
No,41,No,Yes,Fiber optic,No,Yes,One year,Yes,89.55,0
No,55,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,96.75,1
No,45,No,No,DSL,No,No,One year,No,34.2,0
No,66,Yes,Yes,DSL,Yes,No,Two year,Yes,61.15,0
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.85,0
No,70,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.25,0
No,34,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,96.35,0
No,33,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.0,0
No,3,No,Yes,Fiber optic,No,No,Month-to-month,No,74.45,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,80.55,1
No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,70.25,1
Yes,9,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,0
Yes,66,Yes,Yes,DSL,No,Yes,Two year,Yes,58.2,0
No,41,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,106.3,1
No,27,No,No,Fiber optic,No,No,Month-to-month,Yes,70.55,0
No,55,Yes,No,DSL,No,No,Month-to-month,Yes,50.55,0
Yes,30,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.1,0
No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,75.3,1
No,71,Yes,Yes,DSL,Yes,Yes,Two year,Yes,80.1,0
No,68,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.6,1
No,2,No,No,DSL,No,No,Month-to-month,No,44.65,1
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.3,0
No,59,No,No,DSL,No,Yes,Month-to-month,Yes,51.7,0
No,31,No,No,Fiber optic,No,No,Month-to-month,Yes,76.05,0
No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.5,0
Yes,0,Yes,Yes,DSL,No,Yes,Two year,Yes,61.9,0
Yes,62,No,Yes,Fiber optic,Yes,Yes,One year,Yes,110.8,0
Yes,50,No,No,Fiber optic,No,No,Month-to-month,Yes,69.75,0
No,65,Yes,No,DSL,Yes,Yes,Two year,No,58.9,0
Yes,14,No,No,Fiber optic,No,No,Month-to-month,Yes,84.8,0
No,15,No,Yes,DSL,No,Yes,Month-to-month,Yes,58.6,1
Yes,29,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,45.0,0
No,5,No,No,Fiber optic,No,No,Month-to-month,No,69.95,1
No,18,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,85.45,1
No,15,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,105.1,1
No,71,Yes,Yes,Fiber optic,Yes,No,One year,Yes,109.6,0
No,54,No,Yes,Fiber optic,Yes,Yes,One year,No,110.35,1
No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.25,1
Yes,49,Yes,No,DSL,No,Yes,One year,Yes,35.8,0
Yes,63,No,Yes,Fiber optic,Yes,No,Two year,Yes,104.8,0
Yes,65,No,Yes,Fiber optic,Yes,No,One year,Yes,107.45,0
Yes,50,No,No,Fiber optic,No,No,Two year,No,70.35,0
No,63,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,103.4,1
No,47,No,Yes,Fiber optic,Yes,No,One year,Yes,103.1,0
No,2,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.4,1
No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.75,0
No,66,No,Yes,Fiber optic,Yes,Yes,One year,No,110.9,1
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,70.35,1
No,69,Yes,No,Fiber optic,Yes,Yes,Two year,No,110.25,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.45,1
Yes,46,Yes,No,DSL,Yes,Yes,One year,No,56.9,0
Yes,28,No,No,DSL,No,No,One year,Yes,51.0,0
Yes,50,No,No,Fiber optic,No,No,Month-to-month,Yes,84.4,1
No,51,Yes,Yes,Fiber optic,Yes,No,One year,Yes,93.5,0
Yes,51,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.95,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.4,1
No,42,Yes,No,DSL,Yes,No,Month-to-month,No,54.55,0
No,71,Yes,No,DSL,Yes,Yes,Two year,No,83.2,0
No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,64.95,0
Yes,8,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,0
No,44,Yes,Yes,Fiber optic,Yes,No,One year,Yes,106.05,0
No,55,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.7,0
No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,95.35,1
No,1,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,83.4,0
No,17,No,Yes,DSL,No,No,Month-to-month,Yes,49.8,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.5,1
No,15,No,No,DSL,No,No,One year,No,56.15,0
No,13,No,No,Fiber optic,Yes,No,Month-to-month,Yes,83.2,1
No,57,Yes,No,DSL,Yes,Yes,Two year,No,69.85,0
No,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.1,0
No,58,No,No,Fiber optic,No,Yes,Month-to-month,Yes,100.4,0
No,63,Yes,Yes,DSL,Yes,Yes,Two year,Yes,79.85,0
No,28,No,No,DSL,Yes,Yes,Month-to-month,Yes,35.75,0
Yes,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,21.05,0
Yes,41,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,74.55,0
No,16,No,No,Fiber optic,No,Yes,Month-to-month,Yes,94.45,1
Yes,24,Yes,No,Fiber optic,No,No,Month-to-month,Yes,79.85,0
Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.55,0
No,61,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,106.45,0
No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,69.8,0
No,12,Yes,No,DSL,No,Yes,Month-to-month,No,54.2,0
No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.65,0
Yes,7,Yes,No,DSL,No,No,Month-to-month,No,29.8,0
No,14,No,No,Fiber optic,No,No,Month-to-month,Yes,86.1,1
Yes,70,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.15,0
No,56,No,No,Fiber optic,No,No,Month-to-month,Yes,85.6,0
No,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.35,1
Yes,17,Yes,No,Fiber optic,Yes,No,Month-to-month,No,94.4,1
No,1,No,No,DSL,Yes,Yes,One year,No,74.1,0
No,29,No,No,Fiber optic,No,No,Month-to-month,Yes,76.0,0
No,51,No,No,Fiber optic,Yes,No,One year,Yes,94.0,0
No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,93.0,0
No,63,Yes,Yes,DSL,Yes,Yes,One year,No,80.0,0
No,2,No,No,DSL,No,Yes,Month-to-month,No,29.85,1
No,12,No,No,DSL,No,No,Month-to-month,Yes,45.0,0
No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.2,0
No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,74.35,1
No,58,No,Yes,Fiber optic,Yes,No,One year,Yes,103.25,1
Yes,53,Yes,Yes,DSL,No,Yes,One year,No,64.15,0
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.75,1
Yes,7,No,No,DSL,No,No,Month-to-month,Yes,45.75,0
No,25,No,No,Fiber optic,No,No,Month-to-month,Yes,84.6,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,35.75,1
No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.85,0
No,8,Yes,No,DSL,No,Yes,Two year,No,65.5,0
No,1,No,No,DSL,No,Yes,Month-to-month,Yes,50.8,1
No,5,No,Yes,DSL,No,No,Month-to-month,No,50.55,0
Yes,49,No,Yes,Fiber optic,Yes,No,One year,Yes,93.65,0
Yes,69,No,No,Fiber optic,Yes,No,Two year,Yes,79.2,0
No,71,Yes,Yes,DSL,Yes,Yes,One year,Yes,84.8,0
No,3,No,No,Fiber optic,No,Yes,Month-to-month,Yes,83.9,1
Yes,43,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,40.45,0
No,67,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,111.3,0
No,50,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,0
Yes,44,No,No,DSL,Yes,Yes,One year,Yes,54.3,0
No,2,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.45,0
No,3,Yes,Yes,DSL,No,Yes,Two year,No,71.1,0
No,32,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.5,0
No,65,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.25,0
Yes,59,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,111.1,0
No,34,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,105.1,0
Yes,39,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.2,0
Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.0,0
No,2,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.4,1
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.95,0
No,14,No,No,Fiber optic,No,No,Month-to-month,Yes,89.8,1
No,37,No,No,Fiber optic,No,No,Month-to-month,Yes,92.5,1
Yes,49,No,No,Fiber optic,No,Yes,One year,Yes,100.6,1
Yes,19,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.6,0
Yes,48,Yes,No,DSL,Yes,No,One year,Yes,78.75,0
Yes,45,Yes,No,DSL,No,No,Month-to-month,Yes,50.9,0
No,4,No,No,DSL,No,No,Month-to-month,No,51.75,1
No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,0
Yes,13,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.8,0
No,58,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,102.1,1
Yes,72,Yes,Yes,DSL,No,Yes,Two year,No,74.55,0
No,63,Yes,Yes,DSL,Yes,Yes,One year,No,83.0,0
No,2,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,91.15,0
No,52,Yes,No,DSL,Yes,Yes,One year,No,57.95,0
Yes,4,Yes,No,DSL,No,No,Month-to-month,No,50.3,0
No,30,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,105.7,0
No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.05,0
No,64,No,Yes,DSL,No,Yes,One year,Yes,70.15,0
No,8,No,Yes,Fiber optic,No,No,Month-to-month,No,100.85,1
No,26,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.2,0
No,1,No,No,Fiber optic,No,No,Month-to-month,No,90.55,1
Yes,10,Yes,Yes,DSL,Yes,Yes,Two year,No,53.7,0
No,35,No,No,Fiber optic,Yes,Yes,One year,Yes,99.25,0
No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.65,0
Yes,8,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.6,0
No,2,No,No,Fiber optic,No,No,Month-to-month,No,81.5,0
No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,86.55,0
Yes,68,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,0
No,57,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.85,0
Yes,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,112.25,0
No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,85.3,0
Yes,61,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,0
No,72,Yes,Yes,DSL,No,Yes,Two year,Yes,79.35,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,80.85,1
No,22,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.65,0
Yes,55,Yes,No,Fiber optic,No,No,One year,No,100.9,0
No,34,Yes,Yes,DSL,No,Yes,Month-to-month,No,62.65,1
No,29,Yes,Yes,DSL,No,Yes,Month-to-month,No,67.45,0
No,4,No,No,DSL,No,No,Month-to-month,Yes,44.8,0
No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.4,1
No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,0
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.2,0
No,9,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.15,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,24.4,0
No,27,No,No,DSL,Yes,Yes,Month-to-month,No,59.45,0
Yes,64,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,91.8,0
Yes,72,Yes,Yes,Fiber optic,No,No,One year,Yes,104.15,0
No,56,Yes,No,Fiber optic,No,No,One year,Yes,98.0,0
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.65,0
No,38,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,79.45,1
Yes,53,No,No,DSL,Yes,Yes,One year,Yes,78.75,0
No,69,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,110.05,0
Yes,7,Yes,No,DSL,Yes,Yes,Two year,No,49.65,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.35,0
No,56,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,105.45,0
No,17,No,No,Fiber optic,No,No,Month-to-month,Yes,94.2,0
No,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.0,0
No,63,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.95,0
Yes,31,No,No,Fiber optic,No,No,Month-to-month,Yes,86.55,1
No,71,No,Yes,Fiber optic,Yes,No,Two year,No,89.45,0
Yes,69,No,Yes,DSL,Yes,No,Two year,Yes,54.95,0
No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,70.05,1
Yes,68,Yes,Yes,DSL,Yes,No,One year,Yes,73.0,0
No,16,Yes,No,Fiber optic,No,No,Month-to-month,Yes,94.25,1
No,66,Yes,Yes,DSL,No,No,One year,Yes,54.8,0
No,66,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.0,1
Yes,44,Yes,No,DSL,No,Yes,Month-to-month,No,56.25,0
No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,95.45,1
No,20,No,No,Fiber optic,No,No,One year,Yes,91.0,0
No,47,No,No,Fiber optic,Yes,No,Month-to-month,Yes,85.3,1
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.25,0
No,43,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.1,0
No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.95,0
No,11,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.4,0
No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,63.1,0
No,72,Yes,Yes,DSL,No,No,Two year,No,59.75,0
No,72,Yes,Yes,Fiber optic,No,No,Two year,Yes,84.05,0
No,72,No,Yes,DSL,Yes,Yes,Two year,Yes,85.45,0
No,50,No,Yes,Fiber optic,No,Yes,One year,Yes,106.8,0
Yes,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,0
No,6,No,No,DSL,No,Yes,Month-to-month,Yes,49.5,0
No,5,No,Yes,Fiber optic,Yes,No,Month-to-month,No,104.1,1
Yes,54,No,Yes,DSL,Yes,No,Two year,Yes,59.8,0
Yes,39,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,0
Yes,67,Yes,Yes,DSL,Yes,Yes,Two year,No,54.2,0
Yes,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,23.9,0
Yes,63,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.25,0
No,30,Yes,No,DSL,Yes,No,Two year,Yes,55.65,0
Yes,57,Yes,No,DSL,Yes,Yes,One year,Yes,59.3,0
No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,73.55,1
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.8,0
Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.05,0
Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,Yes,89.4,0
No,56,Yes,Yes,Fiber optic,Yes,No,One year,No,109.8,0
Yes,1,Yes,No,DSL,No,No,Month-to-month,No,49.9,0
No,6,No,No,Fiber optic,No,No,Month-to-month,Yes,69.25,1
No,24,No,Yes,DSL,No,No,Month-to-month,No,54.8,0
No,56,Yes,Yes,Fiber optic,Yes,No,One year,No,110.5,0
Yes,6,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.4,0
No,4,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,99.8,1
No,68,No,Yes,Fiber optic,Yes,No,One year,No,86.45,0
No,27,No,No,Fiber optic,Yes,No,One year,Yes,100.5,0
Yes,62,No,Yes,Fiber optic,No,Yes,One year,Yes,106.05,0
No,15,No,No,DSL,Yes,No,Month-to-month,Yes,59.45,1
No,15,No,Yes,Fiber optic,No,No,Month-to-month,No,89.85,1
No,9,Yes,No,Fiber optic,No,No,Month-to-month,Yes,81.15,0
No,27,No,No,Fiber optic,Yes,No,Month-to-month,No,88.3,1
No,5,No,Yes,DSL,No,No,Month-to-month,Yes,51.35,0
No,69,No,No,DSL,Yes,No,One year,Yes,29.8,0
Yes,10,No,Yes,DSL,Yes,No,Month-to-month,Yes,55.55,0
No,43,Yes,No,DSL,No,Yes,Month-to-month,No,34.0,0
Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.85,0
